Time,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,kraken
2024-06-30 22:42:00 UTC,62947.9523809524,62765.0,,62763.4708571429,64949.05,62776.9366666667,62757.26
2024-06-30 22:43:00 UTC,62919.5882352941,62746.5,,62738.8033738602,64938.0666666667,62721.6811111111,62755.1142857143
2024-06-30 22:44:00 UTC,62910.8333333333,62704.8571428571,,62734.1345121951,64942.14,62736.83,62730.2235294118
2024-06-30 22:45:00 UTC,62910.0,62740.625,,62719.0197577854,64850.0,62722.0366666667,62725.9714285714
2024-06-30 22:46:00 UTC,62905.7818181818,62681.0,,62687.7117676768,65144.8733333333,62681.8666666667,62712.4333333333
2024-06-30 22:47:00 UTC,62856.6857142857,62647.25,62600.0,62648.4439669422,64850.0,62640.7890909091,62672.1263157895
2024-06-30 22:48:00 UTC,62898.8,62707.8,,62717.2663959391,64967.085,62727.3123076923,62691.6
2024-06-30 22:49:00 UTC,62924.75,62767.0,,62728.7818719212,64932.36,,62710.9368421053
2024-06-30 22:50:00 UTC,62917.5714285714,62744.8,,62736.4892307692,64930.14,,62711.325
2024-06-30 22:51:00 UTC,62890.5,62695.0,,62697.8639252336,64952.988,,62707.7
2024-06-30 22:52:00 UTC,62884.1320754717,62672.0,,62673.7207246377,64982.22,,62684.2
2024-06-30 22:53:00 UTC,62877.8461538462,62681.6666666667,,62676.8378817734,64905.65,62698.36,62680.3333333333
2024-06-30 22:54:00 UTC,62913.0217391304,62704.6428571429,,62730.2162266858,64925.24,62764.7278461538,62712.8647058823
2024-06-30 22:55:00 UTC,62983.0833333333,62800.8181818182,,62805.6157575757,64924.8433333333,62805.2428571429,62761.0666666667
2024-06-30 22:56:00 UTC,62995.0,62823.4166666667,,62821.1581869689,64968.1475,62825.2725925926,62784.01
2024-06-30 22:57:00 UTC,62993.25,62810.7272727273,,62809.54625,64982.23,62818.92,62796.0333333333
2024-06-30 22:58:00 UTC,,62810.5483870968,,62804.8997777778,64850.0,62804.35,62797.42
2024-06-30 22:59:00 UTC,62993.0,62811.3636363636,,62809.4121363637,65021.1633333333,62813.7885714286,62799.9714285714
2024-06-30 23:00:00 UTC,63037.0571428571,62857.7179487179,,62859.0244464286,65345.0307692308,62815.86,62819.5
2024-06-30 23:01:00 UTC,63063.16,62885.8333333333,,62884.9687135922,65268.2825,62867.5266666667,62872.15
2024-06-30 23:02:00 UTC,63021.0909090909,62877.0833333333,,62862.3479475983,64897.6416666667,62859.77,62850.9571428571
2024-06-30 23:03:00 UTC,63104.25,62911.4230769231,,62912.8782093023,65453.994,62901.3846153846,62886.8636363636
2024-06-30 23:04:00 UTC,63094.0,62915.5,,62893.8377104377,65062.85,62884.0733333333,62902.1444444444
2024-06-30 23:05:00 UTC,63049.75,62844.875,,62856.6560431655,65109.21,62859.765,62876.11
2024-06-30 23:06:00 UTC,63018.7777777778,62817.5714285714,,62823.4178475336,64955.56,,62846.2875
2024-06-30 23:07:00 UTC,63020.6666666667,62822.0,,62825.161446281,64953.3875,62824.792,62822.0428571429
2024-06-30 23:08:00 UTC,63017.9,62814.0357142857,,62817.0373590504,65110.2,,62822.04
2024-06-30 23:09:00 UTC,63012.8,62821.3684210526,,62829.2196439169,64971.64,62863.63,62822.0428571429
2024-06-30 23:10:00 UTC,63040.4166666667,62849.5,,62846.4082327586,65529.2,,62822.1
2024-06-30 23:11:00 UTC,62993.3888888889,62784.3333333333,,62791.792779661,65016.8966666667,62802.0942857143,62808.9961538461
2024-06-30 23:12:00 UTC,62961.1111111111,62743.6666666667,,62751.3824770642,64850.0,62740.0188888889,62789.1965517241
2024-06-30 23:13:00 UTC,62961.2,62756.6153846154,,62756.9203960396,65097.19,,62750.04
2024-06-30 23:14:00 UTC,62932.0,62733.84,,62729.3379936306,65016.5833333333,,62748.55
2024-06-30 23:15:00 UTC,62934.0,62767.25,,62765.8001754386,65083.945,62773.38,62735.6571428571
2024-06-30 23:16:00 UTC,62981.5,62792.875,,62798.9976433121,65041.736,62807.41,62750.8833333333
2024-06-30 23:17:00 UTC,62980.7777777778,62789.75,,62791.5485425101,65094.865,62817.56,62769.05
2024-06-30 23:18:00 UTC,62934.0,62738.75,,62734.7047663551,64850.0,,62757.94
2024-06-30 23:19:00 UTC,62933.0,62740.5,,62740.9423030303,65108.9,62742.075,62749.84
2024-06-30 23:20:00 UTC,62948.7368421053,62766.2,,62764.4244166666,65026.7366666667,62768.215,62749.9
2024-06-30 23:21:00 UTC,62968.6666666667,62790.3333333333,,62780.3916339869,65100.6375,62782.4333333333,62749.8666666667
2024-06-30 23:22:00 UTC,62962.0,62787.3333333333,,62797.51,65165.2,62782.38,62749.9
2024-06-30 23:23:00 UTC,62977.6153846154,62815.5,,62802.3516062176,65086.27,62807.93,62750.0
2024-06-30 23:24:00 UTC,62958.2352941177,62767.0,,62767.4027027027,64824.7233333333,62768.5866666667,62749.98
2024-06-30 23:25:00 UTC,62955.0,62782.0,,62778.8733333333,65012.74,62788.285,62749.9625
2024-06-30 23:26:00 UTC,62960.5714285714,62798.9090909091,,62802.178156682,65014.3033333333,,62749.9625
2024-06-30 23:27:00 UTC,62984.9677419355,62816.6666666667,,62812.3265405405,65097.6875,,62757.64
2024-06-30 23:28:00 UTC,62984.0,62797.1379310345,,62796.2852427185,65090.295,62803.8,62768.7555555555
2024-06-30 23:29:00 UTC,62978.0,62787.8347107438,,62785.9833333333,65078.885,,62768.7875
2024-06-30 23:30:00 UTC,62978.6,62804.9090909091,,62805.8737623762,65089.9525,62802.7875,62769.1
2024-06-30 23:31:00 UTC,,62814.4716981132,,62818.0012844037,64850.0,62813.2525,62770.38
2024-06-30 23:32:00 UTC,62991.3243243243,62827.6125,,62834.0553505535,64976.155,62839.51,62782.3714285714
2024-06-30 23:33:00 UTC,63018.0,62823.8,,62821.3069868996,65020.6033333333,62821.41,62810.58
2024-06-30 23:34:00 UTC,63003.0,62817.0,,62816.7261309524,64976.7325,62817.33,62800.975
2024-06-30 23:35:00 UTC,,62810.0,,62821.0667391305,65094.8175,62823.685,62800.9285714286
2024-06-30 23:36:00 UTC,63011.25,62846.2452830189,,62847.4140397351,65106.465,,62832.6692307692
2024-06-30 23:37:00 UTC,63018.75,62846.0,,62850.9183969466,65017.3266666667,,62844.8428571429
2024-06-30 23:38:00 UTC,,62848.6666666667,,62844.32125,65004.8233333333,62846.505,62844.8666666667
2024-06-30 23:39:00 UTC,,62837.6666666667,,62836.00484375,65094.1625,62827.525,62844.9
2024-06-30 23:40:00 UTC,63006.5897435897,62820.8,,62820.4199504951,64823.0266666667,62832.0,62844.9
2024-06-30 23:41:00 UTC,62995.0,62815.5,,62811.7078911565,65085.405,62819.39,62833.2333333333
2024-06-30 23:42:00 UTC,62990.5,62789.3333333333,,62791.2243231441,65020.4066666667,62795.0,62826.0
2024-06-30 23:43:00 UTC,62973.75,62784.2222222222,,62783.6369166667,65096.48,62787.61,62825.95
2024-06-30 23:44:00 UTC,62968.4,62767.5,,62768.2775,65179.08,62769.17,62819.62
2024-06-30 23:45:00 UTC,62945.9090909091,62756.5,,62744.9778191489,65020.7333333333,62739.005,62796.9375
2024-06-30 23:46:00 UTC,62911.0952380952,62716.25,,62716.8720418848,65021.3733333333,62701.7428571429,62755.0115384616
2024-06-30 23:47:00 UTC,62921.2,62733.5,,62744.0065027322,65006.9833333333,62760.63,62743.8222222222
2024-06-30 23:48:00 UTC,62940.0,62752.75,,62751.0832903226,65007.3833333333,62758.4582352941,62742.3714285714
2024-06-30 23:49:00 UTC,62931.7777777778,62735.6,,62737.8935766423,65009.9,62751.0,62737.24
2024-06-30 23:50:00 UTC,62916.75,62734.0,,62725.0784883721,65251.4975,62737.5489189189,62716.7666666667
2024-06-30 23:51:00 UTC,62904.7826086957,62727.125,,62704.1347555555,65104.1475,62725.52,62708.8666666667
2024-06-30 23:52:00 UTC,62896.2,62720.8,,62719.0980275229,65045.804,62718.61,62706.3
2024-06-30 23:53:00 UTC,62930.8571428571,62760.6666666667,,62752.7079342723,65096.96,62770.46,62730.92
2024-06-30 23:54:00 UTC,62929.75,62747.7142857143,,62743.5564864865,65013.7116666667,62735.0090909091,62741.0526315789
2024-06-30 23:55:00 UTC,,62751.0,,62746.3659064327,64850.0,62750.2033333333,62739.6181818182
2024-06-30 23:56:00 UTC,62907.5454545455,62718.6666666667,,62717.1830266343,65498.2716666667,62705.8627956989,62739.5
2024-06-30 23:57:00 UTC,62887.75,62702.5,,62706.3114155251,65187.5,62692.61,62722.6666666667
2024-06-30 23:58:00 UTC,62879.5,62696.5,,62689.5877956989,64971.985,,62713.375
2024-06-30 23:59:00 UTC,62868.25,62675.2,,62669.7158522727,65006.4866666667,62664.97,62685.7142857143
2024-07-01 00:00:00 UTC,62878.9230769231,62692.9333333333,,62702.3482392027,65007.2433333333,62693.5088888889,62685.8409090909
2024-07-01 00:01:00 UTC,62867.0,62681.0,,62675.0448951049,65012.3716666667,62681.1715789474,62678.4666666667
2024-07-01 00:02:00 UTC,62863.3125,62676.0,,62666.6905882353,65112.075,,62663.15
2024-07-01 00:03:00 UTC,62848.5,62673.9,,62658.5115416667,65080.4325,62666.4663636364,62653.6
2024-07-01 00:04:00 UTC,62834.0,62645.4444444444,,62637.84375,64953.244,62629.9645714286,62624.81875
2024-07-01 00:05:00 UTC,62829.0714285714,62652.5,,62666.0010483871,65091.795,62678.69,62637.1352941177
2024-07-01 00:06:00 UTC,62857.3333333333,62684.75,,62664.8860248447,64850.0,62655.89,62649.0
2024-07-01 00:07:00 UTC,,62673.75,,62660.8813586957,65094.21,,62650.8882352941
2024-07-01 00:08:00 UTC,62829.0,62633.6923076923,,62637.5393413174,65010.11,62646.637,62637.45
2024-07-01 00:09:00 UTC,62786.0,62587.962962963,,62580.9183430232,65186.1,62578.9072727273,62609.025
2024-07-01 00:10:00 UTC,62729.8275862069,62539.0625,,62543.6778456592,64979.47,62537.0,62547.796969697
2024-07-01 00:11:00 UTC,62698.9230769231,62509.8333333333,,62504.2088888889,65176.3933333333,62506.246,62538.0823529412
2024-07-01 00:12:00 UTC,62691.9,62517.6666666667,,62516.2418076923,65010.62,62502.6257142857,62525.2142857143
2024-07-01 00:13:00 UTC,62728.95,62516.8,,62519.3038695652,64935.088,62519.716,62515.5333333333
2024-07-01 00:14:00 UTC,62698.0,62528.7058823529,,62523.8752301255,64975.0225,62521.1544444444,62518.15
2024-07-01 00:15:00 UTC,62717.5714285714,62542.3571428571,,62534.962109375,65100.8925,62543.265,62536.3428571429
2024-07-01 00:16:00 UTC,62731.0,62573.9090909091,,62569.8258781362,65600.0,62581.19,62543.0
2024-07-01 00:17:00 UTC,62755.0,62574.7142857143,,62569.0368,65007.13,62570.6180952381,62543.0
